kyBP,Prec_5KYR_AVG_DIFF,Humidity_5kyr_AVG_DIFF,Humidity_5kyr_AVG_DIFF_1,Humidity_3kyr_AVG_DIFF,Prec_3KYR_AVG_DIFF
100.5,0.003227273,-0.412,0.588,-0.141904192,0.0045
101,0.002545455,-0.304,0.696,-0.153551775,0.004
101.5,0.001863636,-0.192,0.808,-0.347748522,0.0035
102,0.001090909,-0.028,0.972,-0.485646778,0.002714286
102.5,0.000454545,0.122,1.122,-0.441362458,0.002142857
103,-0.000363636,0.203,1.203,-0.302813643,0.001285714
103.5,-0.001136364,0.314,1.314,-0.155266389,0.0005
104,-0.002,0.113,1.113,-0.06065869,-0.000428571
104.5,-0.002727273,0.138,1.138,0.186356195,-0.001142857
105,-0.003454545,0.259,1.259,0.515697522,-0.002142857
105.5,-0.004,0.509,1.509,0.919960308,-0.002857143
106,-0.004590909,0.615,1.615,0.68321683,-0.003714286
106.5,-0.005,0.562,1.562,0.541143528,-0.004285714
107,-0.005318182,0.316,1.316,0.36049843,-0.004857143
107.5,-0.005545455,0.109,1.109,0.358586273,-0.005285714
108,-0.005681818,0.033,1.033,0.332214536,-0.005785714
108.5,-0.005636364,0.064,1.064,0.26135156,-0.006
109,-0.005454545,-0.285,0.715,-0.152011615,-0.006071429
109.5,-0.005181818,-0.164,0.836,-0.067442942,-0.006
110,-0.004772727,0.004,1.004,0.020341308,-0.005785714
110.5,-0.004363636,0.035,1.035,0.210185107,-0.005571429
111,-0.003772727,-0.06,0.94,-0.328140843,-0.005142857
111.5,-0.003136364,-0.09,0.91,-0.540463736,-0.004642857
112,-0.002318182,-0.104,0.896,-0.335239234,-0.003928571
112.5,-0.001590909,0.149,1.149,-0.080878844,-0.003357143
113,-0.000727273,0.219,1.219,0.0936136,-0.0025
113.5,4.55E-05,0.102,1.102,0.138816773,-0.001785714
114,0.000954545,-0.004,0.996,-0.003392439,-0.000785714
114.5,0.001727273,0.07,1.07,0.530727683,9.91271E-19
115,0.002545455,0.009,1.009,0.535047596,0.001
115.5,0.003227273,-0.132,0.868,0.174874155,0.001785714
116,0.003909091,-0.463,0.537,0.149934204,0.002785714
116.5,0.004409091,-0.496,0.504,-0.124409563,0.0035
117,0.004909091,-0.579,0.421,-0.384563682,0.004285714
117.5,0.005227273,-0.601,0.399,-0.37939356,0.004785714
118,0.005454545,-0.716,0.284,-1.043078001,0.005285714
118.5,0.005545455,-0.702,0.298,-1.030967087,0.005571429
119,0.005545455,-0.65,0.35,-0.931400421,0.005857143
119.5,0.005409091,-0.706,0.294,-0.941909259,0.005928571
120,0.005136364,-0.524,0.476,-0.703931708,0.005857143
120.5,0.004818182,-0.425,0.575,-0.581861431,0.005714286
121,0.004318182,-0.438,0.562,-0.63831272,0.005428571
121.5,0.003818182,-0.11,0.89,-0.231473058,0.005142857
122,0.003227273,-0.023,0.977,-0.167955673,0.004642857
122.5,0.002636364,0.033,1.033,-0.142283368,0.004142857
123,0.001909091,0.39,1.39,-0.123826921,0.003357143
123.5,0.001272727,0.39,1.39,-0.091303472,0.002714286
124,0.0005,0.16,1.16,0.036187761,0.001928571
124.5,-0.000181818,0.167,1.167,0.141344198,0.001285714
125,-0.000954545,0.218,1.218,0.780690222,0.000428571
125.5,-0.001590909,0.192,1.192,0.732617962,-0.000214286
126,-0.002272727,0.179,1.179,0.33695461,-0.001071429
126.5,-0.002772727,0.185,1.185,0.312973508,-0.001642857
127,-0.003318182,0.181,1.181,0.283549577,-0.002357143
127.5,-0.003772727,0.118,1.118,0.168913606,-0.002928571
128,-0.004181818,0.079,1.079,0.08688446,-0.003571429
128.5,-0.004454545,-0.265,0.735,-0.445790868,-0.004
129,-0.004681818,-0.252,0.748,-0.419893671,-0.0045
129.5,-0.004772727,-0.009,0.991,-0.030063034,-0.004785714
130,-0.004772727,0.001,1.001,0.002317579,-0.005
130.5,-0.004681818,0.018,1.018,0.02268752,-0.005071429
131,-0.0045,0.019,1.019,0.034973793,-0.005071429
131.5,-0.004272727,0.02,1.02,0.041246842,-0.005
132,-0.003954545,0.024,1.024,0.023683382,-0.004785714
132.5,-0.003590909,0.019,1.019,0.027973695,-0.0045
133,-0.003090909,0.017,1.017,0.012774118,-0.004071429
133.5,-0.002636364,0.013,1.013,-0.005014993,-0.003714286
134,-0.002045455,0.011,1.011,0.007864887,-0.003214286
134.5,-0.0015,0.014,1.014,0.006389698,-0.002785714
135,-0.000909091,0.023,1.023,0.011528582,-0.002142857
135.5,-0.000409091,0.043,1.043,0.020281397,-0.001642857
136,0.000227273,0.065,1.065,0.010642456,-0.000928571
136.5,0.000772727,0.109,1.109,0.026921449,-0.000357143
137,0.001318182,0.146,1.146,0.046086041,0.000285714
137.5,0.001772727,0.193,1.193,0.053115314,0.000785714
138,0.002272727,0.193,1.193,0.100017835,0.0015
138.5,0.002636364,0.181,1.181,0.156660775,0.002
139,0.003045455,0.174,1.174,0.204948445,0.0025
139.5,0.003318182,0.152,1.152,0.2946676,0.002785714
140,0.003545455,0.162,1.162,0.289049488,0.003142857
140.5,0.003727273,0.163,1.163,0.25931941,0.003428571
141,0.003818182,0.148,1.148,0.225610296,0.003785714
141.5,0.003772727,0.114,1.114,0.147072415,0.003928571
142,0.003727273,0.078,1.078,0.111701109,0.004
142.5,0.003681818,0.06,1.06,0.071997194,0.004071429
143,0.003545455,0.022,1.022,-0.01780124,0.004
143.5,0.003363636,0.023,1.023,-0.024101319,0.003857143
144,0.003090909,0.033,1.033,-0.005681884,0.003714286
144.5,0.002772727,0.01,1.01,0.027178881,0.0035
145,0.002363636,0.03,1.03,0.091178212,0.003142857
145.5,0.002,0.015,1.015,0.070337432,0.002857143
146,0.001545455,0.043,1.043,0.055351555,0.002428571
146.5,0.001181818,0.082,1.082,0.009185156,0.002142857
147,0.000727273,0.057,1.057,0.014938666,0.001714286
147.5,0.000272727,0.134,1.134,0.013233986,0.001285714
148,-0.000227273,0.079,1.079,0.044861444,0.000714286
148.5,-0.000636364,0.116,1.116,0.076158884,0.000285714
149,-0.001045455,0.117,1.117,0.02822271,-0.000285714
149.5,-0.001363636,0.062,1.062,0.153600834,-0.000714286
150,-0.001772727,0.046,1.046,0.13432446,-0.001214286
150.5,-0.002090909,-0.042,0.958,0.226265449,-0.001571429
151,-0.002409091,-0.074,0.926,0.230005531,-0.001928571
151.5,-0.002636364,-0.14,0.86,0.084158016,-0.002142857
152,-0.002863636,-0.212,0.788,-0.047379528,-0.0025
152.5,-0.003,-0.199,0.801,-0.140131141,-0.002714286
153,-0.003136364,-0.281,0.719,-0.313474651,-0.002928571
153.5,-0.003227273,-0.25,0.75,-0.29798667,-0.003071429
154,-0.003227273,-0.301,0.699,-0.439138585,-0.003214286
154.5,-0.003227273,-0.302,0.698,-0.46744816,-0.003357143
155,-0.003227273,-0.242,0.758,-0.384301545,-0.0035
155.5,-0.003136364,-0.194,0.806,-0.32996512,-0.0035
156,-0.002954545,-0.09,0.91,-0.180574003,-0.003357143
156.5,-0.002772727,0.013,1.013,-0.128861889,-0.003214286
157,-0.0025,0.066,1.066,-0.076861818,-0.003071429
157.5,-0.002227273,0.052,1.052,-0.019204204,-0.002928571
158,-0.001909091,0.075,1.075,0.030530691,-0.002642857
158.5,-0.001590909,0.089,1.089,0.148464075,-0.002357143
159,-0.001181818,0.138,1.138,0.197287803,-0.001928571
159.5,-0.000863636,0.125,1.125,0.114884386,-0.001642857
